7; 3; 4; 1; 1; [0.471823200321175673063710102712990552754007633589094355584916118937323606860863056267806250020477706747674447760928116923473343885480244743648597535472898094218657239645386447158841446637286196542466548579299503456885239283999918787988941211630837815875105913539322139299186546924764982482684107705128630246767914408300597265865244743597591252637732631011861281888317998202556700223416209678826996511306710105680383102647447593396035868446822412380798227886775796194488508891548074032212073550519917284568343142043868065905771204754345492544768516259557758854375622923307387293491606777478487058292318409881159301072310372413102305600576359540298971309358156983391566087191430 +/- 3.89e-676] + [0.881693182257118132153475949234025442227254360503513080087338018539689257126533829109999138290979400194187030374751621702215050220812030242072432249753258972727214521753955507016783572417857480689190319867305285155555185577820633058739250271523504541243084007904836936731431754838137844435552464476261291284385319794032849032851016196949192862065645637039537580370727698488700875760861190329609722528969115388664523405020728614086484789660774907870384064743868548442156799207561463500632976732936690315916095445453951749405608659194277172437020587189077234679747273202716410297848165839846521975870433928621528227722476228283241482288320178087226364441497925130899715073052926 +/- 1.87e-676]*im
11; 12; 3; 1; 1; [-0.7485107481711010986346305997013513838464515901758261340696312391473317073544368260939444139974825829725222519878512682604927702618866021521669961035617407085204540567731258425147799580335146452194726874643627529528252581058077255462709695090478408157327773461176661179383991922335117287915802240060822095479587563073927433273647799616065332282027855265347969865372968943655635134108191631059365727344822977123656632310848777491718442181701884079080134669003154760373794288095730530159452718423442499093642425077302815159770499911074312300186290625810662298852271384711348112681004931965048090565570224237816366596401500889431702587950881455713092871587179336048768084913717758 +/- 8.71e-677] + [-0.6631226582407952023767854926667662795247641070441061881807863297157262129848846704688858862385844386720999115888120977777299035249868174938719605278338719507402001112698960117529558965364617107086234490692812603178620255445021223448527890129036623747266545242608517677749932028775777810795153721686155701719888721132169034721526050450177987337862925994261808026199908466836083237508334534090103497442160818867074345829834124460880250643833420011743839632807789365183361719258031347545878189419995415474579849973627977060503661776264061378782736312530069491596884006294502402457054662806568883836176402260935237738503512526210461188151764225510067136392484118487778262420102146 +/- 5.02e-677]*im
9; 5; 5; 1; 1; [-0.5680647467311558025118075591275166245334925524535181694796625015675816790411908917253642499012441651085819119793363750919314055454051966414315891367686994482510721403033087103571691503176267771627084080822477126769661824193069632242531180319659111182725758659413223517938779602721199808967852674498191126699941136093619367227163777797149442738142714366611836104930013876905138919356425926142012542111350899353156860971757621757767423106542350318779225268553519823567451643592362389145812471102761371708426657458511086331662221385834721319463383448522662446893594658579407453891220283226060312355618037727512315607005820765754399763730908045143211110609338918721062710558632185 +/- 6.13e-677] + [-0.8229838658936563945796174234393819906550676930875738058270027245716357001503142959421866982559622062524416454906874399645635110691463335552037725304659865230006458870096452036950339620874743449590556508743434861105305806109030977658284424190559564006256773429604912143448159475551815487379875495351362947218680833095911736372326143283991202727409351373750923746209626337486657867414148892202534274943242643707120723434769476087712908913073584439304177313930097282013782255055798618128753639380610233484812812662005472634789507627248380417159307661275599806236477726658230139544818970911095758920009537471080601327455306249458463824572756154760917483437502959189462220872793761 +/- 4.02e-677]*im
7; 4; 6; 1; 1; [0.990943957695304077348937503255912640680546282953163071414182829186834969917493458560242133822941537656793585593173834152597439345022396736214111635541231871336512324015412678508104507812081518021048729545431708248666764495851901837805347015674411051432465381267886665594959720575907107765833848799367304459027234819740629140700651738418258456473633812675054788369621685391099657648817515678754005833546097294472436894641806138465552452151709904905669096957214974703712794015963650331489896921844489380518393242963826301053655506359146321638553720707631709514207061224467803790900645263025010602918479580131039504934681579013800891591911108546914055188992297442499526476795720 +/- 2.65e-676] + [-0.134276106240713589824494944958854502762282126489611117761872152798349858032600635029435183355720378502371028186695976807451591741222296225671451970718753815012244983400063640206549178480131912244733386678312157926704525373238920542190165913341757137497730903579328030668832860330941826479974497604089053984497115736413604868491256183394191449966327101762827447620480903649820842522984948874824808916592098931191416639308113075054621245355297426041577050735063165124750167481103966627710810129540705251325984791883385473468053690898011365956883214325225741555941911184775928006740849233444458384086530803712485526074185540541561953523041276993718110353398301089153115616599571 +/- 3.21e-676]*im
11; 8; 6; 1; 1; [-0.9485364419471455261649097836474828763046570973664112463146227447640378056746127931982386108600491675517725763643832591760729610127438501445750169559429836104046191938839527722271143917248900966738764198687815274209359727119555818234956948328598306879629402426686585112834168978340094956924826309486362593409290713094871366928400833860672437938177163250464017995892380110417328744223244035234085860231231123651256263966689325779837944374909604565659142282257837747195764495720185021179770036943463642266909288183862006039023577140986412851368048836105241592310666372027829546415534189814698905724070729304307567415184210238489526257878040701293759094840767715493943842990836285 +/- 2.34e-677] + [-0.3166679938014724990938464926070593078727407373453031737346083366321940475072976635566587866712768533817453959935521340682597486115961000234617189082037430400720692380102626315364953524556299220268216293297740972486512009730918407428198786326171542506917389228909958406716564043872567202054270225555157879416534717031916517555947668748677946909073551160586882594248324495252953308369375272653983079530339651819634538266528937242638014746828384534226152631005107239266463121454289392151611986373458260140680239482308318742290479727538120584420986222018704940685310763461661323096617641490885208481977664522507690536917674558179600719881170166327963507059318401332058628775917810 +/- 4.56e-677]*im
11; 1; 11; 1; 1; 1.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6; 3; 4; 2; 2; [-0.209654084003523799233729289209291744472234134414463600346778302714360160459796534053566896363441944401714015075171897526480061043501913849450797480940077287660399782707811415459894828879288186192889130063402930633092315642243393973443205499482722561957987291039387003786735600371730304186379872972090854061866683499699983159928226855798581669625640133079856685177670292286087186679203295907964474157780309405874497838398786294040597769603455574000717058251081215355499352266416956865508032738077059429539928653091460589013525213657225538961720375620013734559464772870980478650939276134872695349391036154057734408436868605528383511862615254370868264237417501003675624905458141 +/- 5.75e-676] + [-2.250113279991786684176063321676710553879793589936069001509259571627551739031411519164318348617076513199108419055361643500555877921753200351677953771838203797820942630543228589426675459287181102884550622230896051168058944633218889954603150542775924510380687831408780328404500212319557791487769932831469607091506087154671922054497654809282096803277640497990730556079696441473323889074510982263832098943809977866882836345600405685716777240158413087475504421418439025428041835052464680914586948968829216749652485880824082922750036892505863781723084236195689523056679233241071566239213858038130395681937448973729897843760388914129529879514013430213197806518823270353292828926052723 +/- 7.47e-676]*im
6; 12; 4; 1; 1; [-0.244898880392053707979077184250981226087887595095577813338592232580151804648866851277643176366524688659785210573783096108266479535162107186882930085680734078342023568336407386468412930832455601151160335483217232945143344221389410692766018071619791963218580291051720510969129573936649882914200539471910003668268133481106158000475541482105558958069109805933054603935007315192514624531398164665010257407766499910750568299229770690999132166044216912317181896108827970298769986190472148424933432823895435602181834085627127290827247460123278668810355858942701907285520892858628585295924566011964492071737198564458114834889795417010639316448627366330196339919264860292721937005954563 +/- 6.23e-676] + [-0.969548626105322564743315368126007086536926784605884651580942281681061671778088594128007874216842308676531254797065272728812924956365864486320996001911647401816730855580795203718843251386673202391594571182702287185833434941701152874325107430857066891010689053009960104233697255343409774408443363653759209319183488567980391655440760987142510801201672851017348816187308964174495322231634882549102040705882699932622295683750262425727184744944232835220211890012828397527341392937354494265535778361775000998524238119640193542396647134366651965945029678976290997313575442347883117887890171112976840044967220985253858262417258193909901972133822812248461097098652728059196593431805756 +/- 3.11e-676]*im
11; 11; 10; 1; 1; [0.354604887042535625969637892600018474316355432113794753421739368686760399977535448348479875553664907993109881396925503546075692357496712425250554244907875498877263666371219598990579651370353634668694178920862918241474186156979399029559358004178685227027319370377101977996402642595842818136321410910388086270245203001455257928744687030077628673568057267625941600141497809079207941239212401006714250612771509294446208121810309379415830296126344032134853041080667295099097187742158705312148863009273626992170995287587528634561697613631043320228656872810349684973053037231405445882477495182199292479059032698739713533520268913999385950933889754259362788846263901757626615298176354 +/- 5.42e-676] + [-0.935016242685414823439784599837830729050517469578431870696380270091830542880011948633995494696458736068555602829967529010071565842756036873269637558831986721059076895980080999062227317573009180911776321100174129116403133239463455836464883572687066508670930677363643205474244475188939842325330873917964889093653548483639608830562474488666398571345461685302387982978620972287556063734184945647764707232036346159169948080690578215259025194273288402777148776764491178121828273586255193731582875079786078097497592079009084185276659131084678287556889093404457944647936124327011142062142063156365322162213006585315357890093592488883845583915791774383339554951235553293600553823148465 +/- 4.00e-676]*im
12; 6; 11; 1; 1; [0.143746621484907199894596541843428777742350774158415044988442070502595883298828413865021870972830880762887428929117060556073563173334488990705697409754437115533543182860750484356882888558120307295411088400569251218482399403342557568726490595218271638891910713651985791128270462655115789180427424106385575460818016100475670856722143334313225273183593011637945143514512264448546265807364452075122931566986512752745595676250766762695093170389489470335368461053214982124323046043339727198215390571084466484192902109056823538323212082358704917915075709863590562650449050014265752907716081508221546946583084920602429251366596981921090457567553011361011001667866138563586343543423403 +/- 5.98e-676] + [-0.989614525364131271550118874050034474225809163038655455089052262471128671013607694209248448116111236014470448493523235496839978866751761851522740565020071233714702724839495143860390660941187480984347573236927503321658360284943445504120064452107795964272688050591662536785234122164829836235422225232186899947015166614369145116896611830811527625200545034095912270609031018476043023833377675939573630285552641121952478520895354672827666982595682963670982886851277884989077907395455399693955946058901213336045197029732013118613762117447484146318046645823223390493025821795112801293587495705574976003396826014931266548138242359310612750551415685285850587991000559614946751013543997 +/- 1.69e-676]*im
7; 5; 12; 1; 1; [-0.354604887042535625969637892600018474316355432113794753421739368686760399977535448348479875553664907993109881396925503546075692357496712425250554244907875498877263666371219598990579651370353634668694178920862918241474186156979399029559358004178685227027319370377101977996402642595842818136321410910388086270245203001455257928744687030077628673568057267625941600141497809079207941239212401006714250612771509294446208121810309379415830296126344032134853041080667295099097187742158705312148863009273626992170995287587528634561697613631043320228656872810349684973053037231405445882477495182199292479059032698739713533520268913999385950933889754259362788846263901757626615298176354 +/- 5.65e-676] + [-0.935016242685414823439784599837830729050517469578431870696380270091830542880011948633995494696458736068555602829967529010071565842756036873269637558831986721059076895980080999062227317573009180911776321100174129116403133239463455836464883572687066508670930677363643205474244475188939842325330873917964889093653548483639608830562474488666398571345461685302387982978620972287556063734184945647764707232036346159169948080690578215259025194273288402777148776764491178121828273586255193731582875079786078097497592079009084185276659131084678287556889093404457944647936124327011142062142063156365322162213006585315357890093592488883845583915791774383339554951235553293600553823148465 +/- 4.21e-676]*im
3; 12; 12; 1; 1; 1.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3; 4; 10; 1; 1; [-0.924137683237456310183709324055339051124848084198921051016025819540618806947639819973385126645807813102219866557280266207982417958875507243670187847506849881512043659833709963240828498237565170428730361541649026144188048959039819363461358469812675466419169854521199945742423227074528576394277126310037663073842902804037903615190461559392534593351103858400005402372020911922653412459303343441899570887215329540892308242079894886105847912655530559975962596470964139738386140329881978178773434368520307972906458856252312255718547115941227631795910152005232458254065705901138593693347117293976805668064430221405190266839323621182544505181572606504859949962390773086787459461965685 +/- 6.65e-676] + [0.382059605847709137702739917313714397275872327088150736020793477859779361401755204974616320687795560814420863964774843482195779646346279053842668353226535290643010084227276500265991892254424811508098127024736053554885098983796461329005169992752638345737384882187400972014926744561554164132163280437150320186524652290947233799515893650433656994193415770227508812868080151366200247438503092167724656591947838541383716550354642017157244356758680588374561146615380218295034617498681175294162100136874578948680229151112411243566384813875505467856293000958222834554729159191030643859264081382409939369436414569322438589307452976071056622769891320323250941828658456210419047260704709 +/- 3.42e-676]*im
